689;APRENDIZ;ALEJANDRO SANZ;BALADA
714;PISANDO FUERTE;ALEJANDRO SANZ;BALADA
715;SI TU ME MIRAS;ALEJANDRO SANZ;BALADA
917;CUANDO NADIE ME VE;ALEJANDRO SANZ;BALADA
989;LOS DOS COGIDOS DE LA MANO;ALEJANDRO SANZ;BALADA
1416;CON EL ALMA EN EL AIRE;ALEJANDRO SANZ;BALADA
1490;NO ES LO MISMO;ALEJANDRO SANZ;POP
1653;ME IRE;ALEJANDRO SANZ;BALADA
1738;QUISIERA SER;ALEJANDRO SANZ;POP
2023;SOLO SE ME OCURRE AMARTE;ALEJANDRO SANZ;BALADA
2390;SI HAY DIOS;ALEJANDRO SANZ;BALADA
2701;A LA PRIMERA PERSONA;ALEJANDRO SANZ;BALADA
3088;QUIERO MORIR EN TU VENENO;ALEJANDRO SANZ;BALADA
3395;UN CHARQUITO DE ESTRELLAS;ALEJANDRO SANZ;BALADA
3805;BUSCANDO EL PARAISO;ALEJANDRO SANZ;BALADA
3827;MI PRIMERA CANCION;ALEJANDRO SANZ;BALADA
3960;ESO;ALEJANDRO SANZ;BALADA
4012;DESDE CUANDO;ALEJANDRO SANZ;BALADA
4368;HOY QUE NO ESTAS;ALEJANDRO SANZ;BALADA
4385;REGALAME LA SILLA DONDE TE ESPERE;ALEJANDRO SANZ;BALADA
4790;SE LE APAG� LA LUZ;ALEJANDRO SANZ;BALADA
5079;NO ME COMPARES;ALEJANDRO SANZ;BALADA
5202;MI MARCIANA;ALEJANDRO SANZ;BALADA
5263;CAMINO DE ROSAS;ALEJANDRO SANZ;BALADA
5301;MALA;ALEJANDRO SANZ;BALADA
5526;LO QUE FUI ES TODO LO QUE SOY;ALEJANDRO SANZ;BALADA
5843;SE VENDE;ALEJANDRO SANZ;BALADA
5856;AQUELLO QUE ME DISTE;ALEJANDRO SANZ;BALADA
5875;ENSE�AME TUS MANOS;ALEJANDRO SANZ;BALADA
6479;UN ZOMBIE A LA INTERPERIE;ALEJANDRO SANZ;BALADA
6504;A QUE NO ME DEJAS;ALEJANDRO SANZ & A. FERNANDEZ;BALADA
6035;PELEITA;ALEJANDRO SANZ & CALLE TRECE;POP
2842;TE LO AGRADEZCO PERO NO;ALEJANDRO SANZ & SHAKIRA;BOLERO
5241;UNA NOCHE MAS;ALEJANDRO SANZ & THE CORRS;BALADA
7308;Deja que te bese;Alejandro Sanz -Ft. Marc Anthony;BALADA
7292;A QUE NO ME DEJAS;ALEJANDRO SANZ Y ALEJANDRO FERNANDEZ;BALADA
1809;TE SO��;ALEKS SYNTEK;BALADA
2395;TU NECESITAS;ALEKS SYNTEK;POP
2892;SEXO PUDOR Y LAGRIMAS;ALEKS SYNTEK;BALADA
3445;VOLVERTE A VER;ALEKS SYNTEK;POP
3520;INTOCABLE;ALEKS SYNTEK;BALADA
5124;LA TORMENTA;ALEKS SYNTEK;POP
5864;DE NOCHE EN LA CIUDAD;ALEKS SYNTEK;POP
1537;DUELE EL AMOR;ALEKS SYNTEK Y ANA TORROJA;BALADA
5120;HAY UN LIMITE;ALESTE;BALADA
4721;LA CANCION DEL PESCADO;ALEX & JORGE & LENA;POP
6275;JARDIN PROHIBIDO;ALEX BUENO;SALSA
6110;AL TALLER DEL MAESTRO;ALEX CAMPOS;BALADA
6199;DIJE ADIOS;ALEX CAMPOS;BALADA
6251;FRUTA PROHIBIDA;ALEX CAMPOS;BALADA
6334;ME ROBASTE EL CORAZON;ALEX CAMPOS;BALADA
6448;TE VENGO A DECIR;ALEX CAMPOS;RANCHERA
